Timestamp,Sexo,Altura (em pés),Peso (em libras),"Numeração do pé (em polegadas, padrão USA)"
10/5/2019 15:53:10,Masculino,6.16798,264.555,14
10/5/2019 15:53:26,Masculino,5,189,8.5
10/5/2019 15:53:58,Masculino,5.74,163,10.5
10/5/2019 15:56:52,Masculino,6,163,9
10/5/2019 15:56:54,Masculino,5,218,10.5
10/5/2019 15:57:42,Masculino,5,141,7.5
10/5/2019 15:57:41,Feminino,5.24,163,"7,5"
10/5/2019 15:57:44,Masculino,5,176,"7,5"
10/5/2019 15:57:45,Masculino,5.5,154,7.5
10/5/2019 15:58:23,Masculino,6,220,12.5
10/5/2019 15:59:07,Masculino,5,167,9
10/5/2019 15:59:37,Feminino,5,132,"7,5"
10/5/2019 16:00:05,Masculino,5.74,260,"10,5"
10/5/2019 16:00:18,Feminino,6,132,6
10/5/2019 16:01:24,Masculino,6,194,9
10/5/2019 16:01:04,Masculino,6,192,"10,5"
10/5/2019 16:01:22,Feminino,6,136,8
10/5/2019 16:01:26,Masculino,6.10236,176,10.5
10/5/2019 16:01:26,Masculino,5.57,176.37,8.5
10/5/2019 16:02:17,Feminino,5,136,"7,5"
10/5/2019 16:02:45,Masculino,6.1,227.07,11
10/5/2019 16:02:51,Masculino,5.610236,169.756,8
10/5/2019 16:03:32,Masculino,5.57743,154.324,8.5
10/5/2019 16:04:09,Masculino,5.872703,191.802,8.5
10/5/2019 16:05:55,Masculino,5.74147,132.277,10.5
10/5/2019 16:06:31,Feminino,5.41,149.91,6
10/5/2019 16:07:27,Masculino,6,200,7